"Espacenet";"";"";"";"";"";"";"";"";
"Recherche de brevets";"";"";"";"";"";"";"";"";
"6 093 résultats trouvés pour recycling AND plastic AND '3D printing'";"";"";"";"";"";"";"";"";
"Résultats affichés : 1 à 500";"";"";"";"";"";"";"";"";
"Langue de la requête: en / de / fr";"";"";"";"";"";"";"";"";
"Trier par: Pertinence";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Titre";"Inventeurs";"Demandeurs";"Numéro de publication";"Priorité la plus ancienne";"CIB";"CPC";"Date de publication";"Publication la plus ancienne";"Numéro de famille";
"1";"METHODS FOR RECYCLING PLASTIC NYLON 6,6 FROM VACUUM BAGS TO OBTAIN FILAMENTS OR POWDER FOR 3D PRINTING PROCESSES";"GUINALDO FERNÁNDEZ ENRIQUE [ES] 
BLANCO VARELA TAMARA [ES] 
HERNÁIZ LÓPEZ GUILLERMO [ES] 
SÁNCHEZ GÓMEZ JOSÉ [ES]";"AIRBUS OPERATIONS SLU [ES]";"US2022184857A1";"2019-04-05";"B29B17/04 
B29B9/14 
B29B9/16 
B33Y40/00 
B33Y70/00";"B29B17/0412 (EP,US) 
B29B7/42 (EP) 
B29B7/66 (EP) 
B29B7/726 (EP) 
B29B7/885 (EP) 
B29B9/14 (US) 
B29B9/16 (EP,US) 
B29C48/0022 (EP) 
B29C48/05 (EP) 
B29C48/277 (EP) 
B29C48/92 (EP) 
B29C64/357 (EP) 
B33Y40/00 (EP,US) 
B33Y70/00 (EP,US) 
B29B2017/0021 (US) 
B29B2017/042 (EP,US) 
B29B2017/0468 (EP,US) 
B29B2017/0496 (EP,US) 
B29B9/06 (EP) 
B29C2948/92695 (EP) 
B29C2948/92704 (EP) 
B29C2948/9279 (EP) 
B29C64/118 (EP) 
B29K2077/00 (EP) 
B29K2105/12 (EP,US) 
B29L2031/7128 (EP) 
C08J11/06 (US) 
Y02P70/10 (EP) 
Y02W30/52 (EP,US) 
Y02W30/62 (EP,US)";"2022-06-16";"2020-10-07";"066323798";
"2";"Recycling device for 3D printing plastic";"CHEN TIANRUN";"CHEN TIANRUN";"CN107009626A";"2017-03-27";"B29C64/357 
B33Y40/00";"B33Y40/00 (CN)";"2017-08-04";"2017-08-04";"059446651";
"3";"3D printing machine for recycling 3D printing plastic and printing method of 3D printing machine";"CHEN TIANRUN";"CHEN TIANRUN";"CN106945265A 
CN106945265B";"2017-03-27";"B29C64/118 
B29C64/321 
B29C64/357 
B33Y30/00 
B33Y40/00 
B29C64/314 
B29C64/393 
B33Y40/10 
B33Y50/02";"B33Y30/00 (CN) 
B33Y40/00 (CN)";"2017-07-14 
2020-05-29";"2017-07-14";"059473174";
"4";"Plastic recovery device for 3D printing and degradable plastic 3D printer";"ZOU ZEHUA 
QIN KEZHI 
WEI REN";"GUANGXI SANJI TECH CO LTD";"CN209111536U";"2018-11-10";"B29C64/357 
B33Y40/00";"";"2019-07-16";"2019-07-16";"067204559";
"5";"3D printing attached plastic residue cleaning and recycling device";"LU PENG 
XIAO LI 
LU YAN";"SHENZHEN ZHANCHENG WEIYE ELECTRONICS CO LTD";"CN117484874A";"2023-11-10";"B05C1/02 
B05C11/10 
B29C64/30 
B29C64/35 
B33Y40/00";"B05C1/025 (CN) 
B05C11/10 (CN) 
B29C64/30 (CN) 
B29C64/35 (CN) 
B33Y40/00 (CN)";"2024-02-02";"2024-02-02";"089681020";
"6";"PROCÉDÉ D'IMPRESSION 3D, UTILISATION D'AU MOINS UN ALCOOL HALOGÉNÉ ET OBJET EN PLASTIQUE IMPRIMÉ EN 3D";"ABSTREITER TOBIAS [DE]";"UNIV MUENCHEN TECH [DE]";"EP3597402A1";"2018-07-20";"B29C64/165 
B33Y10/00 
B33Y70/00 
B33Y80/00";"B29C64/165 (EP) 
B33Y10/00 (EP) 
B33Y70/00 (EP) 
B33Y80/00 (EP) 
B29C64/357 (EP) 
B29C64/364 (EP)";"2020-01-22";"2020-01-22";"063014404";
"7";"Extruder based on 3D printing plastic consumable recycling";"LUO QINTIAN 
LUO ZHIYUAN 
LU ZHEHANG 
SHANG XIN 
CHEN HUI";"UNIV HARBIN COMMERCE";"CN217293538U";"2022-05-24";"B29B17/04 
B29C64/209 
B29C64/295 
B29C64/357 
B33Y30/00 
B33Y40/00";"Y02W30/62 (EP)";"2022-08-26";"2022-08-26";"082919200";
"8";"3D printing equipment for plastic tableware production";"JANG JANG-REUM 
CHEN CHAO 
YAO RUNGAO";"GUANGDONG YANGGE NEW MATERIAL TECH CO LTD";"CN117507350A 
CN117507350B";"2023-11-13";"B29C64/153 
B29C64/20 
B29C64/357 
B33Y30/00 
B33Y40/00 
B29L31/28";"B29C64/153 (CN) 
B29C64/20 (CN) 
B29C64/357 (CN) 
B33Y30/00 (CN) 
B33Y40/00 (CN) 
B29L2031/286 (CN)";"2024-02-06 
2024-05-03";"2024-02-06";"089741349";
"9";"3D printing plastic base material recycling and treating equipment";"LYU FENGXIN 
WU XIN";"LYU FENGXIN";"CN110696365A 
CN110696365B";"2019-10-28";"B29C64/357 
B33Y40/20";"B29C64/357 (CN) 
B33Y40/00 (CN)";"2020-01-17 
2021-04-30";"2020-01-17";"069203648";
"10";"3D printer using recycled 3D printing plastic";"XIAO GUODONG";"QUANZHOU YUHUAN MOLD CO LTD";"CN117621445A 
CN117621445B";"2024-01-26";"B29B17/00 
B29C64/20 
B29C64/314 
B29C64/321 
B33Y30/00 
B33Y40/00 
B33Y40/10";"B29B17/00 (CN) 
B29C64/20 (CN) 
B29C64/314 (CN) 
B29C64/321 (CN) 
B33Y30/00 (CN) 
B33Y40/00 (CN) 
B33Y40/10 (CN) 
B29B2017/0021 (CN)";"2024-03-01 
2024-04-26";"2024-03-01";"090016708";
